par1,par2,par3,par4,par5,sex,year
-1.049729234819798,0.44793226333857683,0.23145796261389506,-2.2914576980914663,2.912175562441571,female,1923
-1.0925603954060035,0.20934318702124177,0.2223459515448081,-2.3213893708417737,2.910904864625958,female,1924
-1.0958294245562765,0.21232794429423613,0.2258160784037397,-2.373904504830486,2.8867491324594097,female,1925
-1.1094642778066164,0.18366752397149244,0.23823850172971894,-2.316447750113445,2.904258855651099,female,1926
-1.0688468784035696,0.18654073812010408,0.2473637733190201,-2.37012287155569,2.8872743718920404,female,1927
-1.084038394800211,0.1607715047697316,0.2589860162051558,-2.3250243428644195,2.8889808582105574,female,1928
-1.0896762612094408,0.14860369737606666,0.2542998441956722,-2.4535468516870997,2.877964434733676,female,1929
-1.0439489796043064,0.11352973897768186,0.29658469212697014,-2.207227484149527,2.9093265639386514,female,1930
-1.0292904422091227,0.11632936677592738,0.3026920922117302,-2.348983887422137,2.8837020182178534,female,1931
-1.017670739454664,0.10185219488723621,0.3277044915040484,-2.2869878012174016,2.8963548574133027,female,1932
-0.8853882292954607,0.11119308928042713,0.39681276152435696,-2.1553722422575983,2.959954468212909,female,1933
-0.9024835328655634,0.08254780902086256,0.40597224904697626,-2.1159924549074565,2.960665722852204,female,1934
-0.8829175894162571,0.06317375345009713,0.42121554690558116,-2.1376599598960593,2.960936189098881,female,1935
-0.879583760548305,0.05057081547136566,0.43392536529101944,-2.164355318096392,2.9515013650021507,female,1936
-0.9059448524919497,0.061041805817116455,0.43669217932009374,-2.1674560931855464,2.946920987530952,female,1937
-0.8821981487978777,0.02927267346995054,0.4609931226238056,-2.1625877431401133,2.935723647414752,female,1938
-0.8288305655022119,0.03923942564548711,0.49431427563128505,-2.2101413178697724,2.915425696972661,female,1939
-0.8680831311055092,0.03173681280797444,0.4707868608850707,-2.303762791233667,2.8948492759348072,female,1940
-0.8911697182306297,-0.009413829740088647,0.48337885918222234,-2.247861898136042,2.8974496676052555,female,1941
-0.9235401989148162,-0.2953775525351349,0.49420639358174656,-2.182439523897167,2.8995926948879376,female,1942
-0.9073456522891623,-0.29541448804035986,0.4243185368620558,-2.2241850735883606,2.880185816179643,female,1943
-0.8538706573432395,-0.3216011131467208,0.39783264956854203,-2.202166707198942,2.893572176749063,female,1944
-0.866393965290555,-0.35324406824363963,0.5038004660749353,-2.145606970735595,2.888651743650473,female,1945
-0.8594686724205074,-0.4057035258117715,0.5930933561430783,-2.125640312361493,2.8712767887790376,female,1946
-0.8053898903395449,0.14596112842322845,0.46290830430085494,-2.171820229430078,2.867564755387103,female,1947
-0.7580277811332525,-0.2114232018273816,0.5296500475070471,-2.095391837277013,2.8733482952954734,female,1948
-0.6783100688927752,0.10162989149687571,0.5945011550005355,-2.147889083197451,2.861558482798223,female,1949
-0.6041668834194562,0.14750075508940025,0.6756037005491435,-2.1139598364753285,2.866618366229962,female,1950
-0.5910239140786085,0.1363528852843386,0.7391397880272969,-2.167515574273478,2.8493134667112594,female,1951
-0.5418229933289465,0.10798300396886124,0.8287933693674185,-2.093634993018651,2.8555661335801332,female,1952
-0.4995931978108832,0.08697933606240497,0.897161249845072,-2.1272969457129376,2.8404278264576304,female,1953
-0.45344693508239875,0.061621561401270036,0.9560512417210094,-2.0598025064119367,2.8457200350001335,female,1954
-0.4367624860249095,0.008133403666019575,0.992068296413338,-2.08185946111275,2.830008992605749,female,1955
